sold time,time since transaction link,nft,nft link,price,usd,attributes,seller,seller link,buyer,buyer link
11 days ago,https://etherscan.io/tx/0x2ef4a9b7256fb13d789d5d90a697e33a6326626fe8f323cd43595b8c297c1b9f,We #314 ,https://cryptoslam.io/art-blocks/mint/153000314,0.17000 ETH,$645.21,,0xd75a5efc33592ff5f6d871ead77d8fa11d90f895,https://cryptoslam.io/owner/0xd75a5efc33592ff5f6d871ead77d8fa11d90f895,0xed03617aef8240c48c58cb15c5efe068e237018b,https://cryptoslam.io/owner/0xed03617aef8240c48c58cb15c5efe068e237018b
11 days ago,https://etherscan.io/tx/0x837064bffb93928bc72b5fa83f406a8c8c8d8c2a459a705629add255c7b59de3,Archetype #51 ,https://cryptoslam.io/art-blocks/mint/23000051,27.00000 ETH,"$102,474.46","Layout: Order, Shading: Evening, Scene : Flat, Coloring strategy: Single, Palette: Giftcard, Framed: Yep",0x37eeeeb9bc8e3d144e2225660645ed68be5b666c,https://cryptoslam.io/owner/0x37eeeeb9bc8e3d144e2225660645ed68be5b666c,0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113,https://cryptoslam.io/owner/0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113
11 days ago,https://etherscan.io/tx/0x6c31cf5ee7c7171cd5c1e350ebfbbbdf9ba7fb0a9519b1dcd7a10cf27fb9bb4d,Augmented Sequence #323 ,https://cryptoslam.io/art-blocks/mint/169000323,0.10000 ETH,$379.54,,0xab000f9ceb02cf2389a0a951b8e28ac6ba7e1e92,https://cryptoslam.io/owner/0xab000f9ceb02cf2389a0a951b8e28ac6ba7e1e92,0x3168a9334c9106bcc947b4ac0818eb1613b91e64,https://cryptoslam.io/owner/0x3168a9334c9106bcc947b4ac0818eb1613b91e64
11 days ago,https://etherscan.io/tx/0x9d574f5b549c7f7f8ec9d428613ec0afbfe46ee8ae7fe21ffb2eee051c8050f8,We #874 ,https://cryptoslam.io/art-blocks/mint/153000874,0.19000 ETH,$721.12,,0xbdd3992fa70a2790bec884542ab82658f7326c51,https://cryptoslam.io/owner/0xbdd3992fa70a2790bec884542ab82658f7326c51,0xed03617aef8240c48c58cb15c5efe068e237018b,https://cryptoslam.io/owner/0xed03617aef8240c48c58cb15c5efe068e237018b
11 days ago,https://etherscan.io/tx/0x4d175869904f1834a22b8bcfe0dd79f0e5a9c6b6a331c02617f1a2063039311e,Augmented Sequence #533 ,https://cryptoslam.io/art-blocks/mint/169000533,0.10000 WETH,$379.44,,0x592ff4c996478d75a677c5662c4234db2ec29ddc,https://cryptoslam.io/owner/0x592ff4c996478d75a677c5662c4234db2ec29ddc,0x9af140939807feb66ca7c3c645a4f1e141c2a2d9,https://cryptoslam.io/owner/0x9af140939807feb66ca7c3c645a4f1e141c2a2d9
11 days ago,https://etherscan.io/tx/0xa0ec2ce663e93ad9ec8117729768ca91aa57c82feac8e614ddcf6f4903ed3c0b,Geometry Runners #766 ,https://cryptoslam.io/art-blocks/mint/138000766,3.67680 ETH,"$13,960.78","Speed: 0.354, Arrangement: Triangle, Scale Type: Distance Type, Creature: Varied, Palette: Bowls?, Color Type: Even, Bg Style: Square, Bg Material: Solid, Wire: No",0x435de9e65aae5c1324d5c2359f23db32e882512c,https://cryptoslam.io/owner/0x435de9e65aae5c1324d5c2359f23db32e882512c,0x28ab42d3d52df261cb139370ce80015eeaf81b81,https://cryptoslam.io/owner/0x28ab42d3d52df261cb139370ce80015eeaf81b81
11 days ago,https://etherscan.io/tx/0x13fe51609ff392b6e55971a49a57e1b379c2b32e40bf162ac938a5beffc637c9,Gen 3 #308 ,https://cryptoslam.io/art-blocks/mint/48000308,0.69000 ETH,"$2,619.92","Ring: False, Hash String: True, Hash String Type: Loop, Electrons: False, Hash Grid: False, Floor Grid: False, Orb: True, Orb Size: Small, Gradient Background: True, Frame: True",BOOBS,https://cryptoslam.io/owner/BOOBS,0x34f6e236880d962726fdb5996f6a0bce42ea6ca5,https://cryptoslam.io/owner/0x34f6e236880d962726fdb5996f6a0bce42ea6ca5
11 days ago,https://etherscan.io/tx/0x0cbcbd53533620972cdc90521b2602cf4b766291ffc798b24515b99029c4f688,Gravity 16 #300 ,https://cryptoslam.io/art-blocks/mint/165000300,0.30000 ETH,"$1,139.10",,0x1c0cfd5b57de16cd6e6162b1e7d7c0e006faa786,https://cryptoslam.io/owner/0x1c0cfd5b57de16cd6e6162b1e7d7c0e006faa786,0x5e6b2d56bee063809e8023f5c1ba787adc6fbdde,https://cryptoslam.io/owner/0x5e6b2d56bee063809e8023f5c1ba787adc6fbdde
11 days ago,https://etherscan.io/tx/0x4cd031e53806b2dc1e1e4ba88799fa1b8312c2d430851175139c0939141c8dde,Elementals #234 ,https://cryptoslam.io/art-blocks/mint/41000234,3.25000 ETH,"$12,388.97","Offset: Biggie, Base: Single, Base Grid: 4x4, Top Grid: 5x5, Palette: Mid-century, Background: Tint, Stroke: White, Stroke Grid: 6x6, Heading: East",0x1854a7a0b4f9466dbeeb3279e247d4d0b0a06e3b,https://cryptoslam.io/owner/0x1854a7a0b4f9466dbeeb3279e247d4d0b0a06e3b,0x5b70385e4586ac15464db0071d373a1dbec1860b,https://cryptoslam.io/owner/0x5b70385e4586ac15464db0071d373a1dbec1860b
12 days ago,https://etherscan.io/tx/0xbe39e5364929c8ca3dda7a92d5148617a8e4ae50d492225902b64148cd40bc53,Blaschke Ballet #185 ,https://cryptoslam.io/art-blocks/mint/167000185,0.69000 WETH,"$2,627.09",,0x8a5db1b597f6aa3738cf71bf4bbd717209f107e1,https://cryptoslam.io/owner/0x8a5db1b597f6aa3738cf71bf4bbd717209f107e1,0xe02acd6910221b373cdec2bf1512408598e15f12,https://cryptoslam.io/owner/0xe02acd6910221b373cdec2bf1512408598e15f12
